Total batches: 225
Batch info (theta, phi, gamma, psi_deg, E1, E2):
Batch 81: theta=125.00, phi=125.00, gamma=0.282, psi_deg=125.7, E1=[-0.0028678821817552306, -0.002349231551964771, 0.0033550503583141713], E2=[0.0014077975315141364, 9.771946585620168e-06, -1.3955786038243917e-05]
Batch 82: theta=125.00, phi=150.00, gamma=0.957, psi_deg=160.2, E1=[-0.004330127018922193, -0.003547032399581112, 0.002047880110722479], E2=[0.005226808688519683, 0.001977611528279798, -0.0011417745482048486]
Batch 83: theta=125.00, phi=175.00, gamma=0.994, psi_deg=147.4, E1=[-0.004980973490458728, -0.004080174617258541, 0.00035696902421634833], E2=[0.006366283128612431, 0.000755845561959298, -6.612791804781993e-05]
Batch 84: theta=125.00, phi=200.00, gamma=0.591, psi_deg=81.2, E1=[-0.004698463103929542, -0.0038487556566002856, -0.001400832497966177], E2=[0.001967389274898438, -0.0029238370056983167, -0.0010641896399202079]
Batch 85: theta=125.00, phi=225.00, gamma=0.902, psi_deg=175.2, E1=[-0.0035355339059327385, -0.0028961398266978463, -0.0028961398266978454], E2=[0.003485812050408596, 0.002412597655580953, 0.0024125976555809526]
Batch 86: theta=125.00, phi=250.00, gamma=0.634, psi_deg=65.9, E1=[-0.0017101007166283428, -0.0014008324979661766, -0.0038487556566002856], E2=[0.0019276315748814699, -0.0007012998707713759, -0.0019268055592108015]
Batch 87: theta=125.00, phi=275.00, gamma=0.391, psi_deg=156.9, E1=[0.00043577871373828945, 0.0003569690242163471, -0.004080174617258541], E2=[0.0004724950622620086, -0.0001341051810237067, 0.0015328292331722503]
Batch 88: theta=125.00, phi=300.00, gamma=0.294, psi_deg=132.3, E1=[0.0025000000000000005, 0.00204788011072248, -0.003547032399581112], E2=[0.0003962935491717429, -0.0006771482134428676, 0.001172855109937541]
Batch 89: theta=125.00, phi=325.00, gamma=0.429, psi_deg=144.3, E1=[0.004095760221444958, 0.0033550503583141705, -0.0023492315519647723], E2=[-0.0004011272651762556, -0.0020090797678755734, 0.0014067727983310917]
Batch 90: theta=125.00, phi=350.00, gamma=0.804, psi_deg=126.2, E1=[0.00492403876506104, 0.004033536420557994, -0.0007112212986146204], E2=[0.00031538539366182157, -0.005064623473482924, 0.0008930297655044626]
Batch 91: theta=150.00, phi=0.00, gamma=0.660, psi_deg=88.9, E1=[0.005, 0.0024999999999999996, 0.0], E2=[0.0017164609637643886, -0.0032690748410752132, 0.0]
Batch 92: theta=150.00, phi=25.00, gamma=0.856, psi_deg=128.2, E1=[0.00453153893518325, 0.0022657694675916247, 0.0010565456543517484], E2=[-0.0007157551162440927, -0.003964629102684588, -0.0018487369123260037]
Batch 93: theta=150.00, phi=50.00, gamma=0.500, psi_deg=5.6, E1=[0.003213938048432697, 0.001606969024216348, 0.0019151111077974447], E2=[0.0017193589646940632, 0.0006984437281728457, 0.0008323728222748826]
Batch 94: theta=150.00, phi=75.00, gamma=0.427, psi_deg=131.5, E1=[0.0012940952255126037, 0.0006470476127563017, 0.0024148145657226705], E2=[0.00043268957539883686, -0.0002901902020112934, -0.0010830045777648232]
Batch 95: theta=150.00, phi=100.00, gamma=0.528, psi_deg=62.0, E1=[-0.0008682408883346515, -0.0004341204441673257, 0.00246201938253052], E2=[0.0009501998311005601, -0.0001779154836522051, 0.001009008847865243]
Batch 96: theta=150.00, phi=125.00, gamma=0.677, psi_deg=22.7, E1=[-0.0028678821817552306, -0.001433941090877615, 0.002047880110722479], E2=[-0.0011369808954127911, -0.0013251233339074164, 0.0018924722480073422]
Batch 97: theta=150.00, phi=150.00, gamma=0.254, psi_deg=132.7, E1=[-0.004330127018922193, -0.0021650635094610966, 0.0012499999999999998], E2=[0.0012139064424654036, -0.0003279271507060617, 0.00018932882873473166]
Batch 98: theta=150.00, phi=175.00, gamma=0.214, psi_deg=66.5, E1=[-0.004980973490458728, -0.0024904867452293636, 0.00021788935686914545], E2=[6.645897626544937e-05, -0.0011880867492648798, 0.00010394412184604394]
Batch 99: theta=150.00, phi=200.00, gamma=0.644, psi_deg=18.6, E1=[-0.004698463103929542, -0.002349231551964771, -0.0008550503583141715], E2=[-0.002355669903360284, -0.0023388382838768393, -0.0008512675180934157]
Batch 100: theta=150.00, phi=225.00, gamma=0.822, psi_deg=170.2, E1=[-0.0035355339059327385, -0.001767766952966369, -0.0017677669529663684], E2=[0.003214127525646192, 0.0010822835472004137, 0.0010822835472004133]
Batch 101: theta=150.00, phi=250.00, gamma=0.981, psi_deg=158.6, E1=[-0.0017101007166283428, -0.0008550503583141713, -0.002349231551964771], E2=[0.002456509394873674, 0.0005720145766224315, 0.0015715971328690275]
Batch 102: theta=150.00, phi=275.00, gamma=0.665, psi_deg=167.5, E1=[0.00043577871373828945, 0.0002178893568691447, -0.0024904867452293636], E2=[7.726278583333137e-05, -0.00014690792002791393, 0.0016791652096089422]
Batch 103: theta=150.00, phi=300.00, gamma=0.752, psi_deg=129.0, E1=[0.0025000000000000005, 0.00125, -0.002165063509461096], E2=[0.00027793375450792577, -0.0013226299598983417, 0.002290862290156714]
