Total batches: 225
Batch info (theta, phi, strain):
Batch 119: theta=175.00, phi=325.00, strain=[0.008191520442889916, 0.0007139380484326967, -0.0004999048033273036]
Batch 120: theta=175.00, phi=350.00, strain=[0.00984807753012208, 0.0008583165117743132, -0.0001513443590133863]
Batch 121: theta=200.00, phi=0.00, strain=[0.01, -0.0034202014332566865, -0.0]
Batch 122: theta=200.00, phi=25.00, strain=[0.0090630778703665, -0.003099755192194446, -0.0014454395845259899]
Batch 123: theta=200.00, phi=50.00, strain=[0.006427876096865394, -0.0021984631039295415, -0.0026200263022938494]
Batch 124: theta=200.00, phi=75.00, strain=[0.0025881904510252074, -0.0008852132690137684, -0.003303660895493521]
Batch 125: theta=200.00, phi=100.00, strain=[-0.001736481776669303, 0.0005939117461388468, -0.003368240888334651]
Batch 126: theta=200.00, phi=125.00, strain=[-0.005735764363510461, 0.0019617469496901107, -0.002801664995932354]
Batch 127: theta=200.00, phi=150.00, strain=[-0.008660254037844387, 0.0029619813272602383, -0.001710100716628343]
Batch 128: theta=200.00, phi=175.00, strain=[-0.009961946980917456, 0.0034071865342161, -0.00029809019626209163]
Batch 129: theta=200.00, phi=200.00, strain=[-0.009396926207859084, 0.003213938048432696, 0.0011697777844051093]
Batch 130: theta=200.00, phi=225.00, strain=[-0.007071067811865477, 0.002418447626479753, 0.002418447626479752]
Batch 131: theta=200.00, phi=250.00, strain=[-0.0034202014332566856, 0.001169777784405109, 0.003213938048432696]
Batch 132: theta=200.00, phi=275.00, strain=[0.0008715574274765789, -0.00029809019626209055, 0.0034071865342161]
Batch 133: theta=200.00, phi=300.00, strain=[0.005000000000000001, -0.0017101007166283437, 0.0029619813272602374]
Batch 134: theta=200.00, phi=325.00, strain=[0.008191520442889916, -0.0028016649959323537, 0.001961746949690112]
Batch 135: theta=200.00, phi=350.00, strain=[0.00984807753012208, -0.003368240888334651, 0.000593911746138847]
Batch 136: theta=225.00, phi=0.00, strain=[0.01, -0.0070710678118654745, -0.0]
Batch 137: theta=225.00, phi=25.00, strain=[0.0090630778703665, -0.006408563820557885, -0.0029883623873011985]
Batch 138: theta=225.00, phi=50.00, strain=[0.006427876096865394, -0.004545194776720437, -0.005416752204197018]
Batch 139: theta=225.00, phi=75.00, strain=[0.0025881904510252074, -0.001830127018922193, -0.006830127018922193]
Batch 140: theta=225.00, phi=100.00, strain=[-0.001736481776669303, 0.001227878039689728, -0.0069636424032001884]
Batch 141: theta=225.00, phi=125.00, strain=[-0.005735764363510461, 0.004055797876726388, -0.005792279653395691]
Batch 142: theta=225.00, phi=150.00, strain=[-0.008660254037844387, 0.006123724356957945, -0.003535533905932737]
Batch 143: theta=225.00, phi=175.00, strain=[-0.009961946980917456, 0.007044160264027586, -0.0006162841671621936]
Batch 144: theta=225.00, phi=200.00, strain=[-0.009396926207859084, 0.006644630243886747, 0.002418447626479752]
Batch 145: theta=225.00, phi=225.00, strain=[-0.007071067811865477, 0.005000000000000001, 0.004999999999999999]
Batch 146: theta=225.00, phi=250.00, strain=[-0.0034202014332566856, 0.002418447626479751, 0.006644630243886747]
Batch 147: theta=225.00, phi=275.00, strain=[0.0008715574274765789, -0.0006162841671621915, 0.007044160264027586]
Batch 148: theta=225.00, phi=300.00, strain=[0.005000000000000001, -0.003535533905932738, 0.006123724356957945]
Batch 149: theta=225.00, phi=325.00, strain=[0.008191520442889916, -0.00579227965339569, 0.004055797876726391]
Batch 150: theta=225.00, phi=350.00, strain=[0.00984807753012208, -0.0069636424032001884, 0.0012278780396897287]
Batch 151: theta=250.00, phi=0.00, strain=[0.01, -0.009396926207859084, -0.0]
Batch 152: theta=250.00, phi=25.00, strain=[0.0090630778703665, -0.008516507396391466, -0.003971312619671028]
Batch 153: theta=250.00, phi=50.00, strain=[0.006427876096865394, -0.006040227735550538, -0.0071984631039295425]
Batch 154: theta=250.00, phi=75.00, strain=[0.0025881904510252074, -0.0024321034680169396, -0.009076733711903687]
Batch 155: theta=250.00, phi=100.00, strain=[-0.001736481776669303, 0.001631759111665348, -0.009254165783983234]
Batch 156: theta=250.00, phi=125.00, strain=[-0.005735764363510461, 0.005389855446957564, -0.007697511313200571]
Batch 157: theta=250.00, phi=150.00, strain=[-0.008660254037844387, 0.008137976813493738, -0.004698463103929542]
Batch 158: theta=250.00, phi=175.00, strain=[-0.009961946980917456, 0.009361168066628593, -0.0008189960831908936]
Batch 159: theta=250.00, phi=200.00, strain=[-0.009396926207859084, 0.008830222215594891, 0.003213938048432696]
Batch 160: theta=250.00, phi=225.00, strain=[-0.007071067811865477, 0.006644630243886749, 0.006644630243886747]
Batch 161: theta=250.00, phi=250.00, strain=[-0.0034202014332566856, 0.0032139380484326953, 0.008830222215594891]
Batch 162: theta=250.00, phi=275.00, strain=[0.0008715574274765789, -0.0008189960831908907, 0.009361168066628593]
Batch 163: theta=250.00, phi=300.00, strain=[0.005000000000000001, -0.004698463103929544, 0.008137976813493738]
Batch 164: theta=250.00, phi=325.00, strain=[0.008191520442889916, -0.00769751131320057, 0.005389855446957566]
Batch 165: theta=250.00, phi=350.00, strain=[0.00984807753012208, -0.009254165783983234, 0.0016317591116653488]
Batch 166: theta=275.00, phi=0.00, strain=[0.01, -0.009961946980917456, -0.0]
Batch 167: theta=275.00, phi=25.00, strain=[0.0090630778703665, -0.009028590122851735, -0.004210100716628344]
Batch 168: theta=275.00, phi=50.00, strain=[0.006427876096865394, -0.006403416087687969, -0.007631294127377697]
Batch 169: theta=275.00, phi=75.00, strain=[0.0025881904510252074, -0.0025783416049629956, -0.009622501868990583]
Batch 170: theta=275.00, phi=100.00, strain=[-0.001736481776669303, 0.0017298739392508943, -0.00981060262190407]
Batch 171: theta=275.00, phi=125.00, strain=[-0.005735764363510461, 0.005713938048432697, -0.008160349234517082]
Batch 172: theta=275.00, phi=150.00, strain=[-0.008660254037844387, 0.00862729915662821, -0.004980973490458727]
Batch 173: theta=275.00, phi=175.00, strain=[-0.009961946980917456, 0.00992403876506104, -0.000868240888334652]
Batch 174: theta=275.00, phi=200.00, strain=[-0.009396926207859084, 0.009361168066628593, 0.0034071865342161]
Batch 175: theta=275.00, phi=225.00, strain=[-0.007071067811865477, 0.007044160264027588, 0.007044160264027586]
