element_index,min,max,mean,relative_range,curvature_q3_p10,curvature_q3_p50,curvature_q3_p90
2.150000000000000000e+02,1.702478007708225860e+01,1.819651485002977864e+01,1.791436213179042980e+01,6.540756317905316308e-02,1.773850603795117304e-04,1.687669010228367618e-04,1.574301629260369353e-04
5.900000000000000000e+01,9.732266462460335887e+00,1.273804289089323127e+01,1.037705732280849169e+01,2.896559530249755987e-01,4.969656229888325420e-04,6.152243193233388656e-04,4.244663369352147256e-04
9.350000000000000000e+02,8.163243023803575582e+00,8.830322341740298953e+00,8.436707104777712019e+00,7.906868279911673236e-02,2.017640743667120358e-04,3.013931243869125056e-04,3.305625130994468931e-04
2.100000000000000000e+01,9.339034986017948015e+00,1.093179882770979106e+01,1.004577357868580201e+01,1.585506411443736718e-01,3.564832784632024159e-04,4.290929515646975932e-04,3.568339400647186992e-04
8.900000000000000000e+01,1.633268966705853487e+01,1.858855040109942536e+01,1.771216173252217629e+01,1.273622479349199310e-01,2.038452507642706738e-04,2.535013689109525650e-04,1.782806960637209380e-04
0.000000000000000000e+00,7.739623750851812645e+00,8.690010398887022092e+00,7.982777281874089859e+00,1.190546365602837414e-01,1.755987845493919050e-04,2.025333594809670956e-04,2.541290851642667714e-04
3.020000000000000000e+02,1.837443302453222671e+01,2.148225076939347744e+01,2.049636725065566978e+01,1.516277351422766484e-01,2.448426769353439863e-04,3.358689993823330911e-04,2.978014427084127794e-04
5.050000000000000000e+02,2.295658658574413025e+01,2.538401674094977878e+01,2.490968011859627040e+01,9.744927047029622313e-02,1.879896273102910390e-04,2.126348322319985770e-04,1.614440107674758947e-04
8.400000000000000000e+02,7.158251373623133240e+00,9.583673357162211914e+00,8.743537795457244854e+00,2.773959511902859831e-01,4.621244746078701036e-04,5.783389933680668045e-04,5.802175620804659976e-04
5.980000000000000000e+02,1.267983208485046909e+01,1.379747350792016469e+01,1.360081949355484987e+01,8.217456481937158996e-02,1.839054423859862370e-04,1.848079280151483910e-04,1.613583770318141987e-04
6.400000000000000000e+01,1.379989541129696029e+01,1.448750323454091848e+01,1.417406793898411621e+01,4.851167824254414007e-02,1.671810507300434544e-04,1.748740173658379544e-04,1.614867825657033385e-04
2.460000000000000000e+02,1.707661230387317275e+01,1.844967598798629638e+01,1.771738186679873550e+01,7.749811424938347904e-02,9.772218891659719309e-05,1.670612269562283658e-04,1.792087383744468264e-04
5.310000000000000000e+02,1.426492565071893104e+01,1.668280890173384634e+01,1.477777774587618431e+01,1.636161601963216916e-01,3.531418623212616639e-04,3.453083740132301713e-04,3.032310974774644658e-04
